trait.name,T,trait,ref,mosquito.species
EFD,15,0,Calado&Navarro-Silva_2002,Aedes albopictus
EFD,20,1.3,Calado&Navarro-Silva_2002,Aedes albopictus
EFD,25,4.2,Calado&Navarro-Silva_2002,Aedes albopictus
EFD,30,3.73,Calado&Navarro-Silva_2002,Aedes albopictus
1/MDR,14,39,Joshi_1996,Aedes krombeini
1/MDR,18,24,Joshi_1996,Aedes krombeini
1/MDR,22,10.3,Joshi_1996,Aedes krombeini
1/MDR,26,6.3,Joshi_1996,Aedes krombeini
1/MDR,30,5,Joshi_1996,Aedes krombeini
1/MDR,33.5,5.5,Joshi_1996,Aedes krombeini
1/MDR,35,4,Joshi_1996,Aedes krombeini
1/mu,14,4,Joshi_1996,Aedes krombeini
1/mu,18,23,Joshi_1996,Aedes krombeini
1/mu,22,64,Joshi_1996,Aedes krombeini
1/mu,26,70,Joshi_1996,Aedes krombeini
1/mu,30,29,Joshi_1996,Aedes krombeini
1/mu,33.5,3,Joshi_1996,Aedes krombeini
1/mu,35,0,Joshi_1996,Aedes krombeini
EFD,14,0,Joshi_1996,Aedes krombeini
EFD,18,4.465217391,Joshi_1996,Aedes krombeini
EFD,22,13.171875,Joshi_1996,Aedes krombeini
EFD,26,14.41428571,Joshi_1996,Aedes krombeini
EFD,30,13.68965517,Joshi_1996,Aedes krombeini
EFD,33.5,0,Joshi_1996,Aedes krombeini
EFD,35,0,Joshi_1996,Aedes krombeini
e2a,6,0,Jalil 1972,Aedes triseriatus
e2a,8,0,Jalil 1972,Aedes triseriatus
e2a,10,0.308333333,Jalil 1972,Aedes triseriatus
e2a,12,0.383333333,Jalil 1972,Aedes triseriatus
e2a,16,0.55,Jalil 1972,Aedes triseriatus
e2a,20,0.716666667,Jalil 1972,Aedes triseriatus
e2a,24,0.775,Jalil 1972,Aedes triseriatus
e2a,28,0.716666667,Jalil 1972,Aedes triseriatus
e2a,32,0.633333333,Jalil 1972,Aedes triseriatus
e2a,36,0.175,Jalil 1972,Aedes triseriatus
e2a,38,0,Jalil 1972,Aedes triseriatus
a,15,0.085347044,Callado (2002),Aedes albopictus
a,20,0.054422915,Callado (2002),Aedes albopictus
a,20,0.119047619,Callado (2002),Aedes albopictus
a,20,0.074074074,Callado (2002),Aedes albopictus
mdr,6,0,Jalil 1972,Aedes triseriatus
mdr,8,0,Jalil 1972,Aedes triseriatus
mdr,10,0.016393443,Jalil 1972,Aedes triseriatus
mdr,12,0.019230769,Jalil 1972,Aedes triseriatus
mdr,16,0.027777778,Jalil 1972,Aedes triseriatus
mdr,20,0.05,Jalil 1972,Aedes triseriatus
mdr,24,0.083333333,Jalil 1972,Aedes triseriatus
mdr,28,0.111111111,Jalil 1972,Aedes triseriatus
mdr,32,0.142857143,Jalil 1972,Aedes triseriatus
mdr,36,0.125,Jalil 1972,Aedes triseriatus
mdr,38,0,Jalil 1972,Aedes triseriatus
a,15,0.078125,Lardeux et al 2008,Anopheles pseudopunctipennis
a,20,0.15625,Lardeux et al 2008,Anopheles pseudopunctipennis
a,23,0.196078431,Lardeux et al 2008,Anopheles pseudopunctipennis
a,25,0.285714286,Lardeux et al 2008,Anopheles pseudopunctipennis
a,27,0.303030303,Lardeux et al 2008,Anopheles pseudopunctipennis
a,29,0.37037037,Lardeux et al 2008,Anopheles pseudopunctipennis
a,31,0.476190476,Lardeux et al 2008,Anopheles pseudopunctipennis
a,33,0.416666667,Lardeux et al 2008,Anopheles pseudopunctipennis
a,35,0.434782609,Lardeux et al 2008,Anopheles pseudopunctipennis
EIP,21.98687916,8.965909021,Blanc_1930,Aedes aegypti
EIP,22.50933058,14.88219951,Blanc_1930,Aedes aegypti
EIP,23.97644601,17.83408365,Watts_1987,Aedes aegypti
EIP,25.97645823,17.82369937,Watts_1987,Aedes aegypti
EIP,25.9834218,11.9046601,Watts_1987,Aedes aegypti
EIP,29.96823632,24.81231942,Watts_1987,Aedes aegypti
EIP,29.97648266,17.80293081,Watts_1987,Aedes aegypti
EIP,29.98344624,11.88389154,Watts_1987,Aedes aegypti
EIP,31.98932252,6.889053137,Watts_1987,Aedes aegypti
EIP,34.98934084,6.873476718,Watts_1987,Aedes aegypti
EIP,25.98708684,8.789376271,Rohani_2009,Aedes aegypti
EIP,27.98709906,8.778991992,Rohani_2009,Aedes aegypti
EIP,29.99169258,4.874502929,Rohani_2009,Aedes aegypti
EIP,29.98711128,8.768607712,Anderson_2006,Aedes aegypti
EIP,29.99169258,4.874502929,Anderson_2006,Aedes aegypti
EIP,29.99297534,3.78415359,Anderson_2006,Aedes aegypti
EIP,29.99407485,2.849568442,Anderson_2006,Aedes aegypti
EIP,29.99499111,2.070747485,Anderson_2006,Aedes aegypti
EIP,27.99277987,3.95030206,Salazar_2007,Aedes aegypti
