"data_id","type","date","longitude","latitude","country","ISO","ID_0","ID_1","FOI","R0_1","R0_2","R0_3","altitude","DayTemp_const_term","EVI_const_term","MIR_const_term","NightTemp_const_term","RFE_const_term","DayTemp_Re0","EVI_Re0","MIR_Re0","NightTemp_Re0","RFE_Re0","DayTemp_Im0","EVI_Im0","MIR_Im0","NightTemp_Im0","RFE_Im0","DayTemp_Re1","EVI_Re1","MIR_Re1","NightTemp_Re1","RFE_Re1","DayTemp_Im1","EVI_Im1","MIR_Im1","NightTemp_Im1","RFE_Im1","travel_time","TSI","aedes_gen","population","Shape_Area","log_pop_den"
1,"serology","1993",146.259,-20.08,"Australia","AUS",15,7,0.002946913,1.16158556946392,1.11819400318966,1.35202923750219,125.279153127518,16503.4696327137,135.206459036871,79.6659252730022,7877.501780282,891.453115392483,1654.45216966415,4.43426573494632,3.76986636944555,1383.74162852564,418.487282779837,-550.610592859459,8.40553173743184,-4.9918097161226,198.164908521924,75.5509260946804,-365.14619795919,-0.0675305128278006,-0.175972703085882,-180.79758060578,142.070864999083,-50.937054703275,1.14491739507748,-0.795817098081201,38.5382668630735,35.3175402657416,253.626031851187,45064.9097706398,19.251242294708,4404819,1738788.22219007,1.26222361853997
2,"serology","2014-2016",90.01959167,22.26684667,"Bangladesh","BGD",20,1,0.003200637,1.12276255956637,1.09326938512387,1.33157137527262,6.0475555373842,14352.7236814762,157.809081922915,45.5349535365141,10418.6772728553,2405.85086669853,-11.7785311021604,-4.58857124154831,1.68781483078163,-1135.65558488867,-1318.78375909183,598.516937189922,-7.82149113407911,6.40559292210085,-216.419547922741,-280.084191744627,-681.804963856702,-12.0433229609363,1.45513772904049,-769.603597746,56.4109507334025,-92.5875631492993,-7.59426686611797,1.40380125032949,-193.306749376229,-74.4502133297852,221.361670340258,71614.1200034839,19.9757002486395,6383673,10275.7009100593,6.43332533343655
3,"serology","2014-2016",90.74920167,22.58495667,"Bangladesh","BGD",20,1,0.001084883,1.03497274048101,1.03111876535997,1.28751467957217,6.0475555373842,14352.7236814762,157.809081922915,45.5349535365141,10418.6772728553,2405.85086669853,-11.7785311021604,-4.58857124154831,1.68781483078163,-1135.65558488867,-1318.78375909183,598.516937189922,-7.82149113407911,6.40559292210085,-216.419547922741,-280.084191744627,-681.804963856702,-12.0433229609363,1.45513772904049,-769.603597746,56.4109507334025,-92.5875631492993,-7.59426686611797,1.40380125032949,-193.306749376229,-74.4502133297852,221.361670340258,71614.1200034839,19.9757002486395,6383673,10275.7009100593,6.43332533343655
4,"serology","2014-2016",89.92668833,22.14467167,"Bangladesh","BGD",20,1,0.00248199,1.09041590082746,1.07194395672911,1.31405291126427,6.0475555373842,14352.7236814762,157.809081922915,45.5349535365141,10418.6772728553,2405.85086669853,-11.7785311021604,-4.58857124154831,1.68781483078163,-1135.65558488867,-1318.78375909183,598.516937189922,-7.82149113407911,6.40559292210085,-216.419547922741,-280.084191744627,-681.804963856702,-12.0433229609363,1.45513772904049,-769.603597746,56.4109507334025,-92.5875631492993,-7.59426686611797,1.40380125032949,-193.306749376229,-74.4502133297852,221.361670340258,71614.1200034839,19.9757002486395,6383673,10275.7009100593,6.43332533343655
5,"serology","2014-2016",90.23453333,22.12925667,"Bangladesh","BGD",20,1,0.002170406,1.07715585533113,1.06276638892419,1.30720435196244,6.0475555373842,14352.7236814762,157.809081922915,45.5349535365141,10418.6772728553,2405.85086669853,-11.7785311021604,-4.58857124154831,1.68781483078163,-1135.65558488867,-1318.78375909183,598.516937189922,-7.82149113407911,6.40559292210085,-216.419547922741,-280.084191744627,-681.804963856702,-12.0433229609363,1.45513772904049,-769.603597746,56.4109507334025,-92.5875631492993,-7.59426686611797,1.40380125032949,-193.306749376229,-74.4502133297852,221.361670340258,71614.1200034839,19.9757002486395,6383673,10275.7009100593,6.43332533343655
6,"serology","2014-2016",91.05164167,22.86283,"Bangladesh","BGD",20,2,0.001683356,1.05742517985699,1.04850398758567,1.29751592181014,12.6482606702518,14664.8992528059,162.982734052006,45.937506510566,10191.7935770794,2463.05043099983,56.0252248464828,-11.3075664485986,1.08505544695048,-996.061689574305,-1338.71632081155,467.434784544232,-7.75168745789087,4.99518253345062,-196.510715188219,-82.7495650986187,-583.416991961611,-11.6541352613435,1.04695802124692,-700.42022429745,-113.907406997778,-151.703848540952,-2.80424817772306,-0.301698602001211,-228.466324898122,-220.442522491468,87.7636169262284,74628.3317231006,22.0199987027772,22309197,31432.7077877396,6.56631325961776
7,"serology","2014-2016",91.95263667,22.01035167,"Bangladesh","BGD",20,2,0.003133537,1.11964273363086,1.09126893301184,1.32984103264441,12.6482606702518,14664.8992528059,162.982734052006,45.937506510566,10191.7935770794,2463.05043099983,56.0252248464828,-11.3075664485986,1.08505544695048,-996.061689574305,-1338.71632081155,467.434784544232,-7.75168745789087,4.99518253345062,-196.510715188219,-82.7495650986187,-583.416991961611,-11.6541352613435,1.04695802124692,-700.42022429745,-113.907406997778,-151.703848540952,-2.80424817772306,-0.301698602001211,-228.466324898122,-220.442522491468,87.7636169262284,74628.3317231006,22.0199987027772,22309197,31432.7077877396,6.56631325961776
8,"serology","2014-2016",91.02952,22.83834333,"Bangladesh","BGD",20,2,0.002020025,1.07093107023896,1.05835186902055,1.30407574158877,12.6482606702518,14664.8992528059,162.982734052006,45.937506510566,10191.7935770794,2463.05043099983,56.0252248464828,-11.3075664485986,1.08505544695048,-996.061689574305,-1338.71632081155,467.434784544232,-7.75168745789087,4.99518253345062,-196.510715188219,-82.7495650986187,-583.416991961611,-11.6541352613435,1.04695802124692,-700.42022429745,-113.907406997778,-151.703848540952,-2.80424817772306,-0.301698602001211,-228.466324898122,-220.442522491468,87.7636169262284,74628.3317231006,22.0199987027772,22309197,31432.7077877396,6.56631325961776
9,"serology","2014-2016",91.81024167,22.338445,"Bangladesh","BGD",20,2,0.030619509,3.25846718033519,2.05298754171551,2.59795114163653,12.6482606702518,14664.8992528059,162.982734052006,45.937506510566,10191.7935770794,2463.05043099983,56.0252248464828,-11.3075664485986,1.08505544695048,-996.061689574305,-1338.71632081155,467.434784544232,-7.75168745789087,4.99518253345062,-196.510715188219,-82.7495650986187,-583.416991961611,-11.6541352613435,1.04695802124692,-700.42022429745,-113.907406997778,-151.703848540952,-2.80424817772306,-0.301698602001211,-228.466324898122,-220.442522491468,87.7636169262284,74628.3317231006,22.0199987027772,22309197,31432.7077877396,6.56631325961776
10,"serology","2014-2016",91.81983333,22.37256667,"Bangladesh","BGD",20,2,0.042164313,4.38388907411678,2.52616728508149,3.25051363520104,12.6482606702518,14664.8992528059,162.982734052006,45.937506510566,10191.7935770794,2463.05043099983,56.0252248464828,-11.3075664485986,1.08505544695048,-996.061689574305,-1338.71632081155,467.434784544232,-7.75168745789087,4.99518253345062,-196.510715188219,-82.7495650986187,-583.416991961611,-11.6541352613435,1.04695802124692,-700.42022429745,-113.907406997778,-151.703848540952,-2.80424817772306,-0.301698602001211,-228.466324898122,-220.442522491468,87.7636169262284,74628.3317231006,22.0199987027772,22309197,31432.7077877396,6.56631325961776
