trait.name,T,trait,virus,mosquito,ref
PDR,10,0,WEEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,15,0.053164557,WEEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,20,0.120112518,WEEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,25,0.153586498,WEEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,30,0.287482419,WEEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,14,0.028059072,WNV-SA,Culex univitattus,Reisen_etal_2006_JMedEntom
PDR,18,0.06350211,WNV-SA,Culex univitattus,Reisen_etal_2006_JMedEntom
PDR,26,0.100421941,WNV-SA,Culex univitattus,Reisen_etal_2006_JMedEntom
PDR,30,0.079746835,WNV-SA,Culex univitattus,Reisen_etal_2006_JMedEntom
PDR,14,0,WNV-NY99,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,18,0.03347398,WNV-NY99,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,22,0.062517581,WNV-NY99,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,26,0.10583685,WNV-NY99,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,30,0.14718706,WNV-NY99,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,10,0,SLEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,15,0,SLEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,20,0.042827004,SLEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,25,0.086638537,SLEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
PDR,30,0.128481013,SLEV,Culex tarsalis,Reisen_etal_2006_JMedEntom
