predictor,name,sel_freq
24,NightTemp_Im0,198
19,NightTemp_Re0,197
27,EVI_Re1,184
25,RFE_Im0,183
36,travel_time,183
20,RFE_Re0,182
33,MIR_Im1,182
35,RFE_Im1,182
13,MIR_const_term,181
16,DayTemp_Re0,180
11,DayTemp_const_term,178
32,EVI_Im1,178
10,altitude,175
18,MIR_Re0,175
26,DayTemp_Re1,175
14,NightTemp_const_term,174
28,MIR_Re1,172
31,DayTemp_Im1,171
30,RFE_Re1,169
41,log_pop_den,167
23,MIR_Im0,165
22,EVI_Im0,163
29,NightTemp_Re1,158
21,DayTemp_Im0,148
17,EVI_Re0,147
34,NightTemp_Im1,142
12,EVI_const_term,121
15,RFE_const_term,79
